item,pic
1,"images/black-circle-spiral.png"
2,"images/black-triangle-spiral.png"
3,"images/black-square-spiral.png"
4,"images/black-circle-wave.png"
5,"images/black-triangle-wave.png"
6,"images/black-square-wave.png"
7,"images/black-circle-straight.png"
8,"images/black-triangle-straight.png"
9,"images/black-square-straight.png"
10,"images/red-circle-spiral.png"
11,"images/red-triangle-spiral.png"
12,"images/red-square-spiral.png"
13,"images/red-circle-wave.png"
14,"images/red-triangle-wave.png"
15,"images/red-square-wave.png"
16,"images/red-circle-straight.png"
17,"images/red-triangle-straight.png"
18,"images/red-square-straight.png"
19,"images/blue-circle-spiral.png"
20,"images/blue-triangle-spiral.png"
21,"images/blue-square-spiral.png"
22,"images/blue-circle-wave.png"
23,"images/blue-triangle-wave.png"
24,"images/blue-square-wave.png"
25,"images/blue-circle-straight.png"
26,"images/blue-triangle-straight.png"
27,"images/blue-square-straight.png"
